rec_est_id;rec_month_part;rec_year_part;rec_month_mf_antecipated;rec_month_mf_not_antecipated;rec_previous_month_mf_delta;rec_previous_month_qtd_mov_delta;rec_month_ticket_medio;rec_registered_month;emission_bill;linkou;linkou_pix;payment_bill_card;pos;pos_pix;tef;qtd_produtos;category_change;already_churn;churn_count;rec_monthly_category
20407;7;2021;885.0;0.0;885.0;5;177.0;0.0;0;0;0;0;1;0;0;1;0.0;0;0;6
20407;8;2021;2368.5;0.0;1483.5;11;148.03;1.0;0;0;0;0;1;0;0;1;-3.0;0;0;3
20434;2;2022;0.0;329.0;329.0;1;329.0;7.0;0;1;0;0;0;0;0;1;0.0;0;0;6
20434;6;2022;58.3;0.0;58.3;10;5.83;11.0;0;1;1;0;0;0;0;2;-1.0;0;0;5
20437;1;2022;395.0;0.0;-335.0;0;98.75;5.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;1;2022;0.0;3905.69;1422.49;-13;57.44;5.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;2;2022;0.0;4619.3;713.61;16;54.99;6.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;3;2022;0.0;2692.78;-1926.52;13;27.76;7.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;4;2022;0.0;2773.7;80.92;-16;34.24;8.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;5;2022;0.0;3905.69;1131.99;15;40.68;9.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;6;2022;0.0;3377.25;-528.44;-21;45.03;10.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;7;2022;0.0;4037.49;660.24;37;36.05;11.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;8;2022;0.0;3708.22;-329.27;23;27.47;12.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;9;2022;0.0;3496.4;-211.82;-30;33.3;13.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;10;2022;0.0;2715.98;-780.42;-17;30.86;14.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;11;2022;0.0;2362.65;-353.33;10;24.11;15.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;12;2022;0.0;4838.95;2476.3;34;36.66;16.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;1;2023;0.0;3131.55;-1707.4;-33;31.63;17.0;0;0;0;0;1;0;0;1;0.0;0;0;3
20445;2;2023;0.0;2273.27;-858.28;-69;75.78;18.0;0;0;0;0;1;0;0;1;0.0;0;0;3
